feature,coef
y2_t5 y4_t5,-0.06806724797470885
y4_t4 y2_t5,-0.06806724797470885
y2_t4 y4_t5,-0.06806724797470885
y2_t4 y4_t4,-0.06806724797470885
y3_t1 y1_t5,-0.06521612970179769
y3_t0 y1_t4,-0.06521612970179769
y3_t0 y1_t5,-0.06521612970179769
y3_t1 y1_t4,-0.06521612970179769
y3_t3 y4_t7,-0.0614591626003805
y3_t3 y4_t6,-0.0614591626003805
y3_t2 y4_t7,-0.0614591626003805
y3_t2 y4_t6,-0.0614591626003805
y4_t2^2,-0.058402170281243074
y4_t3^2,-0.058402170281243074
y4_t2 y4_t3,-0.058402170281243074
y3_t4 y4_t6,0.0532003751953406
y3_t5 y4_t6,0.0532003751953406
y3_t4 y4_t7,0.0532003751953406
y3_t5 y4_t7,0.0532003751953406
y2_t6,0.053095733661208205
y2_t7,0.053095733661208205
y3_t2 y4_t2,0.05125765090005643
y4_t2 y3_t3,0.05125765090005643
y3_t3 y4_t3,0.05125765090005643
y3_t2 y4_t3,0.05125765090005643
y2_t0 y3_t1,0.051205826908613736
y2_t0 y3_t0,0.051205826908613736
y3_t0 y2_t1,0.051205826908613736
y2_t1 y3_t1,0.051205826908613736
y1_t1 y3_t1,-0.0442959416129477
y1_t0 y3_t1,-0.0442959416129477
y1_t0 y3_t0,-0.0442959416129477
y3_t0 y1_t1,-0.0442959416129477
y4_t3 y1_t5,0.043491727806791156
y4_t3 y1_t4,0.043491727806791156
y4_t2 y1_t4,0.043491727806791156
y4_t2 y1_t5,0.043491727806791156
y3_t1 y1_t7,0.04127717128398452
y3_t0 y1_t7,0.04127717128398441
y3_t0 y1_t6,0.04127717128398441
y3_t1 y1_t6,0.04127717128398441
y1_t1 y4_t6,0.0353219205328794
y1_t1 y4_t7,0.0353219205328794
y1_t0 y4_t7,0.0353219205328794
y1_t0 y4_t6,0.0353219205328794
y3_t0 y2_t2,-0.03367962806748886
y3_t1 y2_t3,-0.03367962806748886
y3_t0 y2_t3,-0.03367962806748886
y3_t1 y2_t2,-0.03367962806748886
y3_t0 y4_t2,-0.027623129892618413
y3_t0 y4_t3,-0.027623129892618413
y3_t1 y4_t2,-0.027623129892618413
y3_t1 y4_t3,-0.027623129892618413
y1_t3 y4_t6,-0.027279674409541085
y1_t3 y4_t7,-0.027279674409541085
y1_t2 y4_t7,-0.027279674409541085
y1_t2 y4_t6,-0.027279674409540995
y2_t2 y4_t4,-0.026340022121504165
y2_t2 y4_t5,-0.026340022121504165
y2_t3 y4_t5,-0.026340022121504165
y2_t3 y4_t4,-0.026340022121504165
y4_t0 y4_t3,0.025740738979197833
y4_t0 y4_t2,0.025740738979197694
y4_t1 y4_t2,0.025740738979197694
y4_t1 y4_t3,0.025740738979197694
y2_t5 y4_t6,0.02553229863112638
y2_t5 y4_t7,0.02553229863112638
y2_t4 y4_t6,0.02553229863112638
y2_t4 y4_t7,0.02553229863112638
y4_t2 y2_t5,0.02130245247685374
y4_t3 y2_t4,0.02130245247685374
y4_t3 y2_t5,0.02130245247685374
y4_t2 y2_t4,0.02130245247685374
y2_t3 y1_t4,0.01817361821629793
y2_t2 y1_t5,0.01817361821629778
y2_t3 y1_t5,0.01817361821629778
y2_t2 y1_t4,0.01817361821629778
y3_t0 y2_t4,-0.016476314402241767
y3_t0 y2_t5,-0.016476314402241767
y3_t1 y2_t4,-0.016476314402241767
y3_t1 y2_t5,-0.016476314402241767
y1_t1 y1_t4,0.004164453525559206
y1_t1 y1_t5,0.004164453525559206
y1_t0 y1_t5,0.004164453525559206
y1_t0 y1_t4,0.004164453525559206
1,0.0
